soc_code,title,soc_major_group,soc_major_label,employment_uk,median_hourly_pay,median_annual_pay,growth_pct_5yr,entry_level,no_qualification_required,apprenticeship_available,public_sector,regulated_profession,ncs_url
1111,Chief executives and senior officials,1,"Managers, Directors & Senior Officials",197300,42.95,80552,36.4,False,,False,False,False,
1112,Elected officers and representatives,1,"Managers, Directors & Senior Officials",12500,14.39,,-2.3,False,,False,False,False,
1121,Production managers and directors in manufacturing,1,"Managers, Directors & Senior Officials",236400,22.87,43411,-6.1,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/production-manager-manufacturing-
1122,Production managers and directors in construction,1,"Managers, Directors & Senior Officials",164000,21.09,43716,-3.4,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/construction-manager
1123,Production managers and directors in mining and energy,1,"Managers, Directors & Senior Officials",13800,23.26,45045,-50.5,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/production-manager-manufacturing-
1131,Financial managers and directors,1,"Managers, Directors & Senior Officials",438900,29.29,55235,33.9,False,,False,False,False,
1132,"Marketing, sales and advertising directors",1,"Managers, Directors & Senior Officials",256000,35.58,69622,-3.1,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/advertising-art-director
1133,Public relations and communications directors,1,"Managers, Directors & Senior Officials",37100,29.69,,196.8,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/public-relations-officer
1134,Purchasing managers and directors,1,"Managers, Directors & Senior Officials",69400,23.44,46541,46.1,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/purchasing-manager
1135,Charitable organisation managers and directors,1,"Managers, Directors & Senior Officials",50100,20.62,,-7.9,False,,False,False,False,
1136,Human resource managers and directors,1,"Managers, Directors & Senior Officials",238400,24.19,45093,3.7,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/human-resources-officer
1137,Information technology directors,1,"Managers, Directors & Senior Officials",190700,29.27,51600,-1.1,False,,False,False,False,
1139,Functional managers and directors n.e.c.,1,"Managers, Directors & Senior Officials",195500,27.16,52062,120.9,False,,False,False,False,
1140,"Directors in logistics, warehousing and transport",1,"Managers, Directors & Senior Officials",33500,,,61.1,False,,False,False,False,
1150,Managers and directors in retail and wholesale,1,"Managers, Directors & Senior Officials",302100,13.75,27518,-2.1,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/retail-manager
1161,Officers in armed forces,1,"Managers, Directors & Senior Officials",32500,21.99,44806,8.7,False,,False,True,False,https://nationalcareers.service.gov.uk/job-profiles/border-force-officer
1162,Senior police officers,1,"Managers, Directors & Senior Officials",13000,17.21,34170,-29.7,False,,False,True,False,https://nationalcareers.service.gov.uk/job-profiles/police-officer
1163,"Senior officers in fire, ambulance, prison and related services",1,"Managers, Directors & Senior Officials",11400,22.51,44432,-10.9,False,,False,True,False,https://nationalcareers.service.gov.uk/job-profiles/prison-officer
1171,Health services and public health managers and directors,1,"Managers, Directors & Senior Officials",88100,26.32,48817,55.9,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/health-service-manager
1172,Social services managers and directors,1,"Managers, Directors & Senior Officials",39300,19.76,34619,-8.2,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/social-services-manager
1211,Managers and proprietors in agriculture and horticulture,1,"Managers, Directors & Senior Officials",40800,14.4,32766,20.0,False,,False,False,False,
1212,"Managers and proprietors in forestry, fishing and related services",1,"Managers, Directors & Senior Officials",16800,12.97,,1.2,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/civil-service-manager
1221,Hotel and accommodation managers and proprietors,1,"Managers, Directors & Senior Officials",44300,13.07,27728,-8.1,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/hotel-manager
1222,Restaurant and catering establishment managers and proprietors,1,"Managers, Directors & Senior Officials",146800,10.77,21621,-6.7,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/catering-manager
1223,Publicans and managers of licensed premises,1,"Managers, Directors & Senior Officials",32300,11.49,24031,21.9,False,,False,False,False,
1224,Leisure and sports managers,1,"Managers, Directors & Senior Officials",60300,13.52,26028,-15.2,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/leisure-centre-manager
1225,Travel agency managers and proprietors,1,"Managers, Directors & Senior Officials",11700,15.63,31237,-19.9,False,,False,False,False,
1231,Health care practice managers,1,"Managers, Directors & Senior Officials",23400,17.38,31036,-29.3,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/care-home-manager
1232,"Residential, day and domiciliary care managers and proprietors",1,"Managers, Directors & Senior Officials",79600,17.12,35353,4.9,False,,False,False,False,
1233,Early education and childcare services proprietors,1,"Managers, Directors & Senior Officials",5500,,,-5.2,False,,False,False,False,
1241,Managers in transport and distribution,1,"Managers, Directors & Senior Officials",88100,17.55,37342,10.4,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/road-transport-manager
1242,Managers in storage and warehousing,1,"Managers, Directors & Senior Officials",70400,13.28,29108,-14.7,False,,False,False,False,
1243,Managers in logistics,1,"Managers, Directors & Senior Officials",36800,18.96,39798,-14.8,False,,False,False,False,https://nationalcareers.service.gov.uk/job-profiles/bank-manager
1251,"Property, housing and estate managers",1,"Managers, Directors & Senior Officials",212800,18.26,35044,14.0,False,,False,False,False,
1252,Garage managers and proprietors,1,"Managers, Directors & Senior Officials",18800,14.73,31134,-37.7,False,,False,False,False,
